#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX; COV; CORR
Autocorrelation Mean of Batches (lag=0);52;49.416321633241665;70.88841521469283;8.419525830751565;0.1703794526278109;35.96757032857132;76.10203587142773;69.52517646056458;0.9807692307692373
Autocorrelation Mean of Batches (lag=1);52;49.416321633241665;70.88841521469283;8.419525830751565;0.1703794526278109;35.96757032857132;76.10203587142773;-6.000002790443887;-0.08464010335500186
Autocorrelation Mean of Batches (lag=2);52;49.416321633241665;70.88841521469283;8.419525830751565;0.1703794526278109;35.96757032857132;76.10203587142773;5.202980508933706;0.07339676720344145
Autocorrelation Mean of Batches (lag=3);52;49.416321633241665;70.88841521469283;8.419525830751565;0.1703794526278109;35.96757032857132;76.10203587142773;-5.5818675731243275;-0.07874160476319113
Autocorrelation Mean of Batches (lag=4);52;49.416321633241665;70.88841521469283;8.419525830751565;0.1703794526278109;35.96757032857132;76.10203587142773;-0.27751299216379266;-0.0039147862358513185
Autocorrelation Mean of Batches (lag=5);52;49.416321633241665;70.88841521469283;8.419525830751565;0.1703794526278109;35.96757032857132;76.10203587142773;22.80549501000587;0.32170975949930736
Autocorrelation Mean of Batches (lag=6);52;49.416321633241665;70.88841521469283;8.419525830751565;0.1703794526278109;35.96757032857132;76.10203587142773;-17.309214470924417;-0.24417550340914926
Autocorrelation Mean of Batches (lag=7);52;49.416321633241665;70.88841521469283;8.419525830751565;0.1703794526278109;35.96757032857132;76.10203587142773;2.710755408865225;0.038239751878433516
Autocorrelation Mean of Batches (lag=8);52;49.416321633241665;70.88841521469283;8.419525830751565;0.1703794526278109;35.96757032857132;76.10203587142773;-9.88998243448441;-0.13951479102095293
Autocorrelation Mean of Batches (lag=9);52;49.416321633241665;70.88841521469283;8.419525830751565;0.1703794526278109;35.96757032857132;76.10203587142773;-10.573485970240199;-0.14915675485503962
Autocorrelation Mean of Batches (lag=10);52;49.416321633241665;70.88841521469283;8.419525830751565;0.1703794526278109;35.96757032857132;76.10203587142773;2.00710720496636;0.028313613710895216
